track_id,file_name,song_title,artist_name,genre,emotion_category,emotion_subcategory,contributor,standardized_audio_path,standardized_image_path,lyrics_path,congruence_audio_visual,congruence_audio_lyric,master_congruence,z_audio_visual,z_audio_lyric,master_congruence_z
track_121,somewhere-over-the-rainbow.wav,Somewhere Over the Rainbow,Israel Kamakawiwo'ole,"Folk / Acoustic [Singer-songwriter, Traditional Folk, Americana]","Awe, Beauty & Transcendence",Peaceful / Relaxed,Bowen,01_Processed_Data/audio/track_121.wav,01_Processed_Data/images/track_121.jpg,01_Processed_Data/lyrics/track_121.txt,0.22592692,0.17258114,0.19925404,0.69491917,0.5670161,0.6309676
track_122,song-to-the-siren.wav,Song to the Siren,This Mortal Coil,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]","Dreaminess, Curiosity & Ambiguity",Mysterious / Enigmatic,Bowen,01_Processed_Data/audio/track_122.wav,01_Processed_Data/images/track_122.jpg,01_Processed_Data/lyrics/track_122.txt,0.2582181,0.15130776,0.20476294,1.1797328,0.21567056,0.6977017
track_123,space-song.wav,Space Song,Beach House,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]","Dreaminess, Curiosity & Ambiguity",Mysterious / Enigmatic,Jiexin,01_Processed_Data/audio/track_123.wav,01_Processed_Data/images/track_123.jpg,01_Processed_Data/lyrics/track_123.txt,0.114656165,0.07757851,0.09611733,-0.97567827,-1.0020229,-0.9888506
track_124,sparks.wav,Sparks,Coldplay,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Sadness, Loss & Lament",Melancholic / Brooding,Olivia,01_Processed_Data/audio/track_124.wav,01_Processed_Data/images/track_124.jpg,01_Processed_Data/lyrics/track_124.txt,0.08563316,0.15242204,0.1190276,-1.411424,0.2340737,-0.58867514
track_125,stay.wav,Stay,Rihanna,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]","Awe, Beauty & Transcendence",Awe / Wonder,Sabria,01_Processed_Data/audio/track_125.wav,01_Processed_Data/images/track_125.jpg,01_Processed_Data/lyrics/track_125.txt,0.12364357,0.19485913,0.15925135,-0.8407431,0.9349538,0.047105342
track_126,sugar.wav,Sugar,Maroon 5,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]",Vital & Joyful,Pumped Up / Energized,Jazlyn,01_Processed_Data/audio/track_126.wav,01_Processed_Data/images/track_126.jpg,01_Processed_Data/lyrics/track_126.txt,0.1973656,0.18058215,0.18897387,0.26610503,0.69915885,0.48263192
track_127,sweet-baby-james.wav,Sweet Baby James,James Taylor,"Folk / Acoustic [Singer-songwriter, Traditional Folk, Americana]",Tender & Intimacy,Comforted / Safe,Bowen,01_Processed_Data/audio/track_127.wav,01_Processed_Data/images/track_127.jpg,01_Processed_Data/lyrics/track_127.txt,0.1358457,0.33165777,0.23375174,-0.65754265,3.194285,1.2683711
track_128,tears-and-rain.wav,Tears and Rain,James Blunt,"Folk / Acoustic [Singer-songwriter, Traditional Folk, Americana]","Sadness, Loss & Lament",Sad / Sorrowful,Bowen,01_Processed_Data/audio/track_128.wav,01_Processed_Data/images/track_128.jpg,01_Processed_Data/lyrics/track_128.txt,0.10213176,0.10998386,0.10605781,-1.1637173,-0.46682435,-0.8152708
track_129,the-final-countdown.wav,The Final Count Down ,Europe,"Metal [Heavy Metal, Thrash, Doom, Metalcore, Black Metal]",Vital & Joyful,Triumphant / Victorious,Bowen,01_Processed_Data/audio/track_129.wav,01_Processed_Data/images/track_129.jpg,01_Processed_Data/lyrics/track_129.txt,0.20899877,0.14558193,0.17729035,0.4407632,0.12110421,0.2809337
track_130,the-seal-lullaby.wav,The Seal Lullaby,Eric Whitacre,"Classical [Orchestral, Baroque, Chamber, Opera, Romantic]","Dreaminess, Curiosity & Ambiguity",Dreamy / Floating,Jazlyn,01_Processed_Data/audio/track_130.wav,01_Processed_Data/images/track_130.jpg,01_Processed_Data/lyrics/track_130.txt,0.09174359,0.12036887,0.10605623,-1.3196832,-0.29530826,-0.8074957
