track_id,tempo_bpm,rms,centroid,zcr,chroma_entropy,emotion_category
track_001,151.99908088235293,0.1587904393672943,927.6104446165252,0.04564371492840557,2.3711657524108887,"Sadness, Loss & Lament"
track_002,161.4990234375,0.15891121327877045,2613.915818394696,0.10032516810178019,2.45538067817688,"Sadness, Loss & Lament"
track_003,123.046875,0.23643994331359863,2483.54444067819,0.10953448505224458,2.473623752593994,Vital & Joyful
track_004,117.45383522727273,0.32515406608581543,1769.5012621993376,0.059346201988196595,2.4755115509033203,Vital & Joyful
track_005,151.99908088235293,0.2767132520675659,2458.8357440523187,0.07158762456462849,2.449990749359131,Vital & Joyful
track_006,83.35433467741936,0.16409334540367126,2292.207680647917,0.12893535035313466,2.456265687942505,"Tension, Threat & Aggression"
track_007,151.99908088235293,0.12640437483787537,1875.257604365808,0.07435707115905572,2.4496655464172363,"Dreaminess, Curiosity & Ambiguity"
track_008,151.99908088235293,0.229053795337677,2020.6884795263522,0.07497876052147832,2.4605159759521484,"Awe, Beauty & Transcendence"
track_009,112.34714673913044,0.2837485074996948,2256.524675710089,0.10018495730940402,2.4631388187408447,"Tension, Threat & Aggression"
track_010,123.046875,0.19035451114177704,2327.28125753546,0.10289015637093653,2.4403045177459717,"Dreaminess, Curiosity & Ambiguity"
track_011,112.34714673913044,0.11004412919282913,1515.4000917867797,0.06331632159442724,2.4561891555786133,"Sadness, Loss & Lament"
track_012,92.28515625,0.08136202394962311,641.603607676143,0.03214681997387771,2.3588318824768066,"Awe, Beauty & Transcendence"
track_013,117.45383522727273,0.1792692244052887,1012.1513294583955,0.03007049088138545,2.4275662899017334,"Dreaminess, Curiosity & Ambiguity"
track_014,112.34714673913044,0.16642621159553528,1427.5409922120477,0.04688218060661765,2.4345293045043945,"Tension, Threat & Aggression"
track_015,112.34714673913044,0.2727392613887787,1899.6167058116564,0.04852502781540248,2.461071252822876,"Tension, Threat & Aggression"
track_016,129.19921875,0.17041578888893127,2263.61739124696,0.07464542920375387,2.4649581909179688,Vital & Joyful
track_017,117.45383522727273,0.19614173471927643,1947.1551556886297,0.08229088561822756,2.4648194313049316,Tender & Intimacy
track_018,161.4990234375,0.2419823259115219,1873.1071130712633,0.06954152960526316,2.4496405124664307,"Sadness, Loss & Lament"
track_019,135.99917763157896,0.18221141397953033,1061.3883524875905,0.027753800430534055,2.482145309448242,"Tension, Threat & Aggression"
track_020,117.45383522727273,0.18865595757961273,2139.425828012819,0.07910080664667182,2.4595868587493896,Tender & Intimacy
track_021,99.38401442307692,0.1395748406648636,1105.1299637313955,0.03758178333010836,2.400745391845703,"Tension, Threat & Aggression"
track_022,123.046875,0.27422603964805603,2320.8799933282726,0.0948599706124226,2.454360008239746,"Tension, Threat & Aggression"
track_023,143.5546875,0.158494770526886,1828.5458760462052,0.06529968072755418,2.4677271842956543,Tender & Intimacy
track_024,151.99908088235293,0.21981707215309143,2573.065087433521,0.09864490615325078,2.475735902786255,Vital & Joyful
track_025,112.34714673913044,0.284766286611557,1717.3469880343023,0.05915383731617647,2.4344069957733154,"Sadness, Loss & Lament"
track_026,103.359375,0.20701830089092255,2884.215200309441,0.09979418113873839,2.471622943878174,Vital & Joyful
track_027,129.19921875,0.20710605382919312,1800.8194253419204,0.065298924874226,2.4317169189453125,"Dreaminess, Curiosity & Ambiguity"
track_028,112.34714673913044,0.16688808798789978,1235.6452035685093,0.044900711106811146,2.4484310150146484,"Awe, Beauty & Transcendence"
