query_target,R@1,R@5,R@10,N,chance_R@1,chance_R@5,chance_R@10
audio → image (ImageBind),0.08666666666666667,0.20666666666666667,0.34,150,0.006666666666666667,0.03333333333333333,0.06666666666666667
image → audio (ImageBind),0.06666666666666667,0.20666666666666667,0.32666666666666666,150,0.006666666666666667,0.03333333333333333,0.06666666666666667
audio → text  (ImageBind),0.04,0.10666666666666667,0.14666666666666667,150,0.006666666666666667,0.03333333333333333,0.06666666666666667
text  → audio (ImageBind),0.013333333333333334,0.10666666666666667,0.17333333333333334,150,0.006666666666666667,0.03333333333333333,0.06666666666666667
