encoder,label,kmeans_purity,majority_baseline,lift_over_baseline
audio_ib_orig,label_emotion,0.2933,0.1667,0.1267
audio_ib_orig,label_subcategory,0.1333,0.0533,0.08
audio_ib_orig,label_contributor,0.36,0.2,0.16
audio_ib_orig,label_genre_top,0.44,0.3267,0.1133
audio_ib_random,label_emotion,0.3467,0.1667,0.18
audio_ib_random,label_subcategory,0.1467,0.0533,0.0933
audio_ib_random,label_contributor,0.3733,0.2,0.1733
audio_ib_random,label_genre_top,0.4267,0.3267,0.1
audio_ib_energy,label_emotion,0.3667,0.1667,0.2
audio_ib_energy,label_subcategory,0.14,0.0533,0.0867
audio_ib_energy,label_contributor,0.32,0.2,0.12
audio_ib_energy,label_genre_top,0.4733,0.3267,0.1467
audio_mert_orig,label_emotion,0.3,0.1667,0.1333
audio_mert_orig,label_subcategory,0.12,0.0533,0.0667
audio_mert_orig,label_contributor,0.3467,0.2,0.1467
audio_mert_orig,label_genre_top,0.4,0.3267,0.0733
audio_mert_random,label_emotion,0.3067,0.1667,0.14
audio_mert_random,label_subcategory,0.1267,0.0533,0.0733
audio_mert_random,label_contributor,0.32,0.2,0.12
audio_mert_random,label_genre_top,0.4067,0.3267,0.08
audio_mert_energy,label_emotion,0.3133,0.1667,0.1467
audio_mert_energy,label_subcategory,0.1267,0.0533,0.0733
audio_mert_energy,label_contributor,0.34,0.2,0.14
audio_mert_energy,label_genre_top,0.4067,0.3267,0.08
image_ib,label_emotion,0.2867,0.1667,0.12
image_ib,label_subcategory,0.1133,0.0533,0.06
image_ib,label_contributor,0.32,0.2,0.12
image_ib,label_genre_top,0.3667,0.3267,0.04
image_clip,label_emotion,0.28,0.1667,0.1133
image_clip,label_subcategory,0.1333,0.0533,0.08
image_clip,label_contributor,0.3467,0.2,0.1467
image_clip,label_genre_top,0.36,0.3267,0.0333
text_ib,label_emotion,0.2733,0.1667,0.1067
text_ib,label_subcategory,0.1133,0.0533,0.06
text_ib,label_contributor,0.3333,0.2,0.1333
text_ib,label_genre_top,0.3533,0.3267,0.0267
text_ib_chorus,label_emotion,0.2733,0.1667,0.1067
text_ib_chorus,label_subcategory,0.1267,0.0533,0.0733
text_ib_chorus,label_contributor,0.2933,0.2,0.0933
text_ib_chorus,label_genre_top,0.3667,0.3267,0.04
text_ib_multi,label_emotion,0.3067,0.1667,0.14
text_ib_multi,label_subcategory,0.1133,0.0533,0.06
text_ib_multi,label_contributor,0.3333,0.2,0.1333
text_ib_multi,label_genre_top,0.4067,0.3267,0.08
text_clap,label_emotion,0.2733,0.1667,0.1067
text_clap,label_subcategory,0.1267,0.0533,0.0733
text_clap,label_contributor,0.2933,0.2,0.0933
text_clap,label_genre_top,0.3533,0.3267,0.0267
text_clap_chorus,label_emotion,0.2867,0.1667,0.12
text_clap_chorus,label_subcategory,0.1267,0.0533,0.0733
text_clap_chorus,label_contributor,0.2667,0.2,0.0667
text_clap_chorus,label_genre_top,0.3667,0.3267,0.04
text_clap_multi,label_emotion,0.34,0.1667,0.1733
text_clap_multi,label_subcategory,0.1467,0.0533,0.0933
text_clap_multi,label_contributor,0.3133,0.2,0.1133
text_clap_multi,label_genre_top,0.3667,0.3267,0.04
